true_di,true_dd,mean_di,mean_dd,true_mean_diff_di,true_mean_diff_dd,min_di,max_di,range_di,avg_diff_di,min_dd,max_dd,range_dd,avg_diff_dd,num_candidates,alpha,beta,trial
0.6846706139081572,0.24355711830173823,0.8751560377115257,0.24355711830173818,-0.19048542380336853,5.551115123125783e-17,0.6428405994249782,1.192682824859804,0.5498422254348259,0.1925715326630185,0.24355711830173818,0.24355711830173818,0.0,5.551115123125783e-17,1053,1.0,1.0,0
0.6846706139081572,0.24355711830173823,0.8639834348989877,0.2400337598860167,-0.17931282099083046,0.0035233584157215447,0.6712353757531625,1.1137391186771042,0.4425037429239417,0.17945864132803147,0.24003375988601663,0.24003375988601663,0.0,0.0035233584157216002,832,1.0,0.8,0
0.6846706139081572,0.24355711830173823,0.8432162937951936,0.2339923015023352,-0.15854567988703638,0.009564816799403048,0.7081562929093685,1.0053157577301877,0.2971594648208191,0.15854567988703633,0.23399230150233513,0.23399230150233513,0.0,0.009564816799403103,506,1.0,0.5,0
0.6846706139081572,0.24355711830173823,0.8538405211906211,0.23747095317273684,-0.16916990728246395,0.006086165129001397,0.685963636417397,1.0641321726497288,0.3781685362323318,0.1691699072824641,0.23747095317273692,0.23747095317273692,0.0,0.006086165129001314,672,1.5,1.0,0
0.6846706139081572,0.24355711830173823,0.8467757885612339,0.23471434202209232,-0.16210517465307672,0.008842776279645914,0.7060787374538976,1.0168039229078472,0.31072518545394956,0.1621051746530768,0.2347143420220924,0.2347143420220924,0.0,0.008842776279645831,529,1.5,0.8,0
0.6846706139081572,0.24355711830173823,0.8321035987822816,0.23016495351063623,-0.14743298487412437,0.013392164791102001,0.7394825570761919,0.9368694320459415,0.1973868749697496,0.1474329848741244,0.23016495351063623,0.23016495351063623,0.0,0.013392164791102,270,1.5,0.5,0
0.6846706139081572,0.24355711830173823,0.8432162937951936,0.2339923015023352,-0.15854567988703638,0.009564816799403048,0.7081562929093685,1.0053157577301877,0.2971594648208191,0.15854567988703633,0.23399230150233513,0.23399230150233513,0.0,0.009564816799403103,506,2.0,1.0,0
0.6846706139081572,0.24355711830173823,0.8379896356442761,0.2317410324374968,-0.1533190217361189,0.011816085864241432,0.725719452752015,0.9685909806548921,0.24287152790287714,0.15331902173611867,0.23174103243749689,0.23174103243749689,0.0,0.01181608586424135,378,2.0,0.8,0
0.6846706139081572,0.24355711830173823,0.820495952134938,0.22810367599813222,-0.13582533822678078,0.015453442303606013,0.7494257022132754,0.8984767746063673,0.1490510723930919,0.13582533822678083,0.22810367599813222,0.22810367599813222,0.0,0.015453442303606013,168,2.0,0.5,0
0.8898775460444726,-0.6740770332931808,1.0286581188893422,-0.6740770332931809,-0.13878057284486967,1.1102230246251565e-16,0.3386479843894554,2.939600356725175,2.60095237233572,0.34817200281549693,-0.6740770332931808,-0.6740770332931807,1.1102230246251565e-16,6.083413833562501e-18,3577,1.0,1.0,1
0.8898775460444726,-0.6740770332931808,0.9760570196841266,-0.6749783528869225,-0.08617947363965406,0.000901319593741734,0.31281046239772636,2.7663969550152885,2.4535864926175623,0.3375161279870611,-0.6749783528869224,-0.6749783528869222,2.220446049250313e-16,0.0009013195937416176,2814,1.0,0.8,1
0.8898775460444726,-0.6740770332931808,0.939512586522077,-0.6766309841006741,-0.049635040477604475,0.0025539508074933215,0.3645242454871091,2.229905702645156,1.8653814571580467,0.2841805491206449,-0.6766309841006741,-0.676630984100674,1.1102230246251565e-16,0.0025539508074932183,1450,1.0,0.5,1
0.8898775460444726,-0.6740770332931808,0.9442119794747346,-0.6756621497278829,-0.05433443343026201,0.0015851164347020497,0.3178483448251068,2.5232476961063686,2.2053993512812617,0.3183760421936726,-0.675662149727883,-0.675662149727883,0.0,0.0015851164347021607,2196,1.5,1.0,1
0.8898775460444726,-0.6740770332931808,0.93002473439727,-0.6764258866340755,-0.0401471883527974,0.002348853340894741,0.3534884297244594,2.2376614823167698,1.8841730525923104,0.2863532781965368,-0.6764258866340755,-0.6764258866340755,0.0,0.002348853340894741,1560,1.5,0.8,1
0.8898775460444726,-0.6740770332931808,0.9252346191824835,-0.6777551213790164,-0.03535707313801095,0.0036780880858355847,0.44059360615467175,1.8364968857833237,1.395903279628652,0.23092685635953364,-0.6777551213790162,-0.6777551213790162,0.0,0.0036780880858353626,740,1.5,0.5,1
0.8898775460444726,-0.6740770332931808,0.939512586522077,-0.6766309841006741,-0.049635040477604475,0.0025539508074933215,0.3645242454871091,2.229905702645156,1.8653814571580467,0.2841805491206449,-0.6766309841006741,-0.676630984100674,1.1102230246251565e-16,0.0025539508074932183,1450,2.0,1.0,1
0.8898775460444726,-0.6740770332931808,0.94094297782417,-0.6772845059430014,-0.05106543177969747,0.0032074726498205752,0.4050413727815268,2.04501795651591,1.6399765837343834,0.2603334865422091,-0.6772845059430013,-0.6772845059430013,0.0,0.003207472649820464,1032,2.0,0.8,1
0.8898775460444726,-0.6740770332931808,0.9408364255059374,-0.6783876372247797,-0.05095887946146482,0.0043106039315988776,0.5001275339912801,1.7006796847028,1.20055215071152,0.206116351857295,-0.6783876372247795,-0.6783876372247795,0.0,0.0043106039315986555,480,2.0,0.5,1
1.58952421764696,-0.26270457839002664,1.2892214760967784,-0.2627045783900266,0.30030274155018155,-5.551115123125783e-17,0.9728128217884798,1.7272544422884961,0.7544416205000163,0.30504765310637305,-0.26270457839002664,-0.26270457839002653,1.1102230246251565e-16,3.387121092076749e-17,2124,1.0,1.0,2
