true_di,true_dd,mean_di,mean_dd,true_mean_diff_di,true_mean_diff_dd,min_di,max_di,range_di,avg_diff_di,min_dd,max_dd,range_dd,avg_diff_dd,num_candidates,alpha,beta,const,trial
0.8170764078238185,-0.13904706906287212,1.0587232081139846,-0.1390470690628721,-0.24164680029016605,-2.7755575615628914e-17,0.5638272813207773,1.888864919441845,1.3250376381210676,0.2861270200802872,-0.13904706906287223,-0.13904706906287212,1.1102230246251565e-16,1.3427951434750321e-19,4134,0.1,10.0,0.9617198063170438,0
1.4604478629688982,-0.45648921954419913,1.2513045657643203,-0.45648921954419913,0.20914329720457792,0.0,0.5425404586061895,2.5516290730569597,2.0090886144507705,0.4504111882836754,-0.4564892195441992,-0.4564892195441991,1.1102230246251565e-16,5.551115123125783e-17,7800,0.1,10.0,2.0944940424117418,1
0.31088625806369136,0.6127887412041394,0.8956171541120286,0.6127887412041397,-0.5847308960483373,-3.3306690738754696e-16,0.18128051699277098,2.048759936008252,1.8674794190154809,0.599646624927544,0.6127887412041394,0.6127887412041396,2.220446049250313e-16,1.0580425424677741e-16,10000,0.1,10.0,1.3704423190457846,2
1.5437090942869485,0.47454359551357783,1.0344417759246298,0.4745435955135777,0.5092673183623186,1.1102230246251565e-16,0.4079049115245065,1.8329634158907422,1.4250585043662358,0.5299401403021138,0.4745435955135777,0.47454359551357783,1.1102230246251565e-16,4.9299453408480076e-17,10000,0.1,10.0,1.8747156751407452,3
2.2858901524531023,0.5997427972297218,1.2212726620828978,0.5997427972297217,1.0646174903702046,1.1102230246251565e-16,0.3822886355045878,3.1145969616154843,2.7323083261108962,1.0864645029268392,0.5997427972297218,0.5997427972297218,0.0,0.0,9500,0.1,10.0,1.362563473886131,4
1.333303480539047,0.33033653434090215,1.4633198106137748,0.3303365343409022,-0.1300163300747279,-5.551115123125783e-17,0.4154033755576671,5.0840496329766784,4.668646257419011,0.6560971375817714,0.3303365343409022,0.33033653434090227,5.551115123125783e-17,8.180590707764311e-17,3933,0.1,10.0,1.2308254117833095,5
0.9608203388202641,0.31142623695366156,1.1270786599529337,0.31142623695366145,-0.16625832113266958,1.1102230246251565e-16,0.13338156881040103,5.1158549455140765,4.982473376703675,0.6108990157170676,0.31142623695366145,0.3114262369536616,1.6653345369377348e-16,6.834532939592464e-17,10000,0.1,10.0,1.0099419439410542,6
0.664698413427146,-0.3819145505450533,0.915357316456124,-0.38191455054505324,-0.250658903028978,-5.551115123125783e-17,0.6264117000624523,1.2634176179075067,0.6370059178450544,0.25154262591387855,-0.3819145505450533,-0.3819145505450532,1.1102230246251565e-16,9.992007221626408e-18,10000,0.1,10.0,0.721890485764271,7
1.1036969862662829,-0.3777218208075242,1.4282875961801305,-0.3777218208075242,-0.3245906099138476,0.0,0.7975015522260815,2.2800775409671434,1.482575988741062,0.37682749642825863,-0.37772182080752414,-0.37772182080752403,1.1102230246251565e-16,8.881784197001253e-17,7300,0.1,10.0,0.9780300085588448,8
1.2815040169869496,0.4018762425494229,1.0716109694499303,0.40187624254942295,0.20989304753701932,-5.551115123125783e-17,0.5477906200501746,1.9486771488353682,1.4008865287851937,0.317477543049747,0.40187624254942284,0.4018762425494229,5.551115123125783e-17,3.770349874641336e-19,5742,0.1,10.0,1.7385417806306094,9
1.2462980456573474,0.3145857405296747,0.9767002975322183,0.3145857405296747,0.26959774812512904,0.0,0.6650660430161207,1.364677286791408,0.6996112437752874,0.27393854653727,0.3145857405296747,0.3145857405296747,0.0,0.0,8700,0.1,10.0,1.9743073427234752,10
0.9766699534647366,0.5308038309850354,1.1485590492987507,0.5308038309850355,-0.17188909583401413,-1.1102230246251565e-16,0.6042479573711861,2.1887853890353037,1.5845374316641176,0.26734354913776004,0.5308038309850355,0.5308038309850356,1.1102230246251565e-16,1.2258712563569438e-16,4800,0.1,10.0,1.333674802003844,11
0.7629389631529421,-0.6620510463754922,0.9334672629499534,-0.6620510463754921,-0.17052829979701134,-1.1102230246251565e-16,0.7360574650390244,1.1485688076767393,0.41251134263771494,0.1719138200711832,-0.6620510463754923,-0.6620510463754922,1.1102230246251565e-16,1.3839766471354691e-18,7300,0.1,10.0,1.9927882867470286,12
0.9470760536994597,-0.2265684228622007,1.0648701200446604,-0.22656842286220072,-0.11779406634520073,2.7755575615628914e-17,0.7018989481019222,1.508203424273453,0.8063044761715308,0.16276908371340718,-0.2265684228622007,-0.22656842286220058,1.1102230246251565e-16,4.3689106056952586e-17,9100,0.1,10.0,1.2850232804025443,13
1.0475477646551465,-6.566459563539517e-05,0.9836661719835799,-6.566459563539295e-05,0.06388159267156668,-2.222614453595284e-18,0.8738616254397399,1.1062427206206353,0.23238109518089545,0.06825550238662142,-6.566459563539517e-05,-6.566459563533966e-05,5.551115123125783e-17,2.220446049250313e-18,4000,0.1,10.0,1.7054312851661297,14
1.3246868864178305,0.6220953199594276,1.1403215908157025,0.6220953199594276,0.184365295602128,0.0,0.642219952877256,2.0384425573999354,1.3962226045226793,0.28667157310308217,0.6220953199594275,0.6220953199594275,0.0,1.1102230246251565e-16,2378,0.1,10.0,1.0974769714730466,15
1.050144750358371,0.37920354948745266,1.225492186161084,0.3792035494874528,-0.17534743580271295,-1.1102230246251565e-16,0.5429699010938446,2.4591433561879392,1.9161734550940945,0.44028486499044056,0.3792035494874528,0.3792035494874528,0.0,1.1102230246251565e-16,5200,0.1,10.0,1.667850705314308,16
